rpm,advance_degrees,data_source
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.73,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.73,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.70,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.69,plot_data
1987,11.84,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.73,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
1987,11.74,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.71,plot_data
2190,12.87,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.70,plot_data
2190,12.87,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.71,plot_data
2190,12.87,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.70,plot_data
2190,12.87,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
2190,12.76,plot_data
