time_sec,rpm,reason
34.020,3093,Missing spark - no dwell before next trigger
34.263,3093,Missing spark - no dwell before next trigger
34.331,3093,Missing spark - no dwell before next trigger
34.350,3093,Missing spark - no dwell before next trigger
34.379,3093,Missing spark - no dwell before next trigger
34.573,3093,Missing spark - no dwell before next trigger
34.593,3093,Missing spark - no dwell before next trigger
34.690,3093,Missing spark - no dwell before next trigger
34.748,3093,Missing spark - no dwell before next trigger
34.787,3093,Missing spark - no dwell before next trigger
34.864,3093,Missing spark - no dwell before next trigger
35.010,3191,Missing spark - no dwell before next trigger
35.104,3191,Missing spark - no dwell before next trigger
35.179,3191,Missing spark - no dwell before next trigger
35.348,3191,Missing spark - no dwell before next trigger
35.357,3191,Missing spark - no dwell before next trigger
35.395,3191,Missing spark - no dwell before next trigger
35.639,3191,Missing spark - no dwell before next trigger
35.696,3191,Missing spark - no dwell before next trigger
36.100,3191,Missing spark - no dwell before next trigger
36.109,3191,Missing spark - no dwell before next trigger
36.119,3191,Missing spark - no dwell before next trigger
36.222,3191,Missing spark - no dwell before next trigger
36.354,3191,Missing spark - no dwell before next trigger
36.363,3191,Missing spark - no dwell before next trigger
36.420,3191,Missing spark - no dwell before next trigger
36.570,3191,Missing spark - no dwell before next trigger
36.843,3191,Missing spark - no dwell before next trigger
36.993,3191,Missing spark - no dwell before next trigger
37.139,3297,Missing spark - no dwell before next trigger
37.184,3297,Missing spark - no dwell before next trigger
37.230,3297,Missing spark - no dwell before next trigger
37.239,3297,Missing spark - no dwell before next trigger
37.293,3297,Missing spark - no dwell before next trigger
37.321,3297,Missing spark - no dwell before next trigger
37.330,3297,Missing spark - no dwell before next trigger
37.412,3297,Missing spark - no dwell before next trigger
37.466,3297,Missing spark - no dwell before next trigger
37.557,3297,Missing spark - no dwell before next trigger
37.584,3297,Missing spark - no dwell before next trigger
37.639,3297,Missing spark - no dwell before next trigger
37.739,3297,Missing spark - no dwell before next trigger
37.748,3297,Missing spark - no dwell before next trigger
37.921,3297,Missing spark - no dwell before next trigger
38.067,3297,Missing spark - no dwell before next trigger
38.176,3297,Missing spark - no dwell before next trigger
38.185,3297,Missing spark - no dwell before next trigger
38.249,3297,Missing spark - no dwell before next trigger
38.285,3297,Missing spark - no dwell before next trigger
38.367,3297,Missing spark - no dwell before next trigger
38.777,3297,Missing spark - no dwell before next trigger
38.858,3297,Missing spark - no dwell before next trigger
38.950,3297,Missing spark - no dwell before next trigger
38.959,3297,Missing spark - no dwell before next trigger
39.039,3371,Missing spark - no dwell before next trigger
39.066,3371,Missing spark - no dwell before next trigger
39.404,3371,Missing spark - no dwell before next trigger
39.556,3371,Missing spark - no dwell before next trigger
39.591,3371,Missing spark - no dwell before next trigger
39.600,3371,Missing spark - no dwell before next trigger
39.752,3371,Missing spark - no dwell before next trigger
39.858,3371,Missing spark - no dwell before next trigger
39.885,3371,Missing spark - no dwell before next trigger
39.983,3371,Missing spark - no dwell before next trigger
39.992,3371,Missing spark - no dwell before next trigger
40.054,3371,Missing spark - no dwell before next trigger
40.197,3371,Missing spark - no dwell before next trigger
40.383,3371,Missing spark - no dwell before next trigger
40.419,3371,Missing spark - no dwell before next trigger
40.588,3371,Missing spark - no dwell before next trigger
40.757,3371,Missing spark - no dwell before next trigger
40.811,3371,Missing spark - no dwell before next trigger
40.873,3371,Missing spark - no dwell before next trigger
41.058,3488,Missing spark - no dwell before next trigger
41.152,3488,Missing spark - no dwell before next trigger
41.169,3488,Missing spark - no dwell before next trigger
41.359,3488,Missing spark - no dwell before next trigger
41.479,3488,Missing spark - no dwell before next trigger
41.496,3488,Missing spark - no dwell before next trigger
41.642,3488,Missing spark - no dwell before next trigger
41.883,3488,Missing spark - no dwell before next trigger
41.935,3488,Missing spark - no dwell before next trigger
41.952,3488,Missing spark - no dwell before next trigger
41.986,3488,Missing spark - no dwell before next trigger
42.029,3488,Missing spark - no dwell before next trigger
42.098,3488,Missing spark - no dwell before next trigger
42.167,3488,Missing spark - no dwell before next trigger
42.184,3488,Missing spark - no dwell before next trigger
42.331,3488,Missing spark - no dwell before next trigger
42.416,3488,Missing spark - no dwell before next trigger
42.425,3488,Missing spark - no dwell before next trigger
42.494,3488,Missing spark - no dwell before next trigger
42.700,3488,Missing spark - no dwell before next trigger
