Timing Analysis: wokwi-logic.vcd
Total measurements: 4680

Time(s)    RPM   Delay(μs)  Delay(°)  Advance(°)  Mode
 10.29   1987    3209.8     38.3       8.7  SAME
 10.31   1987    2949.1     35.2      11.8  SAME
 10.32   1987    3199.2     38.1       8.9  SAME
 10.34   1987    2948.6     35.1      11.9  SAME
 10.35   1987    3209.2     38.3       8.7  SAME
 10.37   1987    2949.1     35.2      11.8  SAME
 10.38   1987    3199.1     38.1       8.9  SAME
 10.40   1987    3204.1     38.2       8.8  SAME
 10.42   1987    2949.1     35.2      11.8  SAME
 10.43   1987    3208.2     38.2       8.8  SAME
 10.45   1987    2948.6     35.1      11.9  SAME
 10.46   1987    3204.8     38.2       8.8  SAME
 10.48   1987    2949.2     35.2      11.8  SAME
 10.49   1987    3208.2     38.2       8.8  SAME
 10.51   1987    2949.1     35.2      11.8  SAME
 10.52   1987    3204.1     38.2       8.8  SAME
 10.54   1987    2949.7     35.2      11.8  SAME
 10.55   1987    3208.2     38.2       8.8  SAME
 10.57   1987    3199.8     38.1       8.9  SAME
 10.58   1987    2949.6     35.2      11.8  SAME
 10.60   1987    3209.7     38.3       8.7  SAME
 10.61   1987    2949.1     35.2      11.8  SAME
 10.63   1987    3199.6     38.1       8.9  SAME
 10.64   1987    2948.6     35.1      11.9  SAME
 10.66   1987    3209.2     38.3       8.7  SAME
 10.67   1987    2948.6     35.1      11.9  SAME
 10.69   1987    3199.2     38.1       8.9  SAME
 10.70   1987    2949.2     35.2      11.8  SAME
 10.72   1987    3209.6     38.3       8.7  SAME
 10.73   1987    2949.1     35.2      11.8  SAME
 10.75   1987    3199.1     38.1       8.9  SAME
 10.76   1987    3205.6     38.2       8.8  SAME
 10.78   1987    2947.1     35.1      11.9  SAME
 10.79   1987    3208.7     38.2       8.8  SAME
 10.81   1987    2948.2     35.1      11.9  SAME
 10.82   1987    3203.7     38.2       8.8  SAME
 10.84   1987    2948.7     35.1      11.9  SAME
 10.85   1987    3207.1     38.2       8.8  SAME
 10.87   1987    2948.2     35.1      11.9  SAME
