time_seconds,D0,D1,D2
7.254900,1,0,0
7.259419,1,1,0
7.259419,1,1,1
7.262421,1,0,1
7.262421,1,0,0
7.302100,0,0,0
7.307300,1,0,0
7.311839,1,1,0
7.311840,1,1,1
7.314840,1,0,1
7.314840,1,0,0
7.354100,0,0,0
7.359200,1,0,0
7.363709,1,1,0
7.363709,1,1,1
7.366710,1,0,1
7.366710,1,0,0
7.405600,0,0,0
7.410800,1,0,0
7.415080,1,1,0
7.415080,1,1,1
7.418081,1,0,1
7.418081,1,0,0
7.456900,0,0,0
7.462000,1,0,0
7.466324,1,1,0
7.466324,1,1,1
7.469325,1,0,1
7.469325,1,0,0
7.507700,0,0,0
7.512800,1,0,0
7.516995,1,1,0
7.516995,1,1,1
7.519996,1,0,1
7.519996,1,0,0
7.558200,0,0,0
7.563200,1,0,0
7.567415,1,1,0
7.567415,1,1,1
7.570417,1,0,1
7.570417,1,0,0
7.608300,0,0,0
7.613200,1,0,0
7.617412,1,1,0
7.617412,1,1,1
7.620413,1,0,1
7.620413,1,0,0
7.658000,0,0,0
7.662900,1,0,0
7.667007,1,1,0
7.667007,1,1,1
7.670008,1,0,1
7.670009,1,0,0
7.707300,0,0,0
7.712200,1,0,0
7.716202,1,1,0
7.716203,1,1,1
7.719203,1,0,1
7.719203,1,0,0
7.756300,0,0,0
7.761200,1,0,0
7.765123,1,1,0
7.765123,1,1,1
7.768124,1,0,1
7.768124,1,0,0
7.805000,0,0,0
7.809900,1,0,0
7.813744,1,1,0
7.813744,1,1,1
7.816745,1,0,1
7.816745,1,0,0
7.853400,0,0,0
7.858200,1,0,0
7.862066,1,1,0
7.862066,1,1,1
7.865067,1,0,1
7.865067,1,0,0
7.901400,0,0,0
7.906200,1,0,0
7.909961,1,1,0
7.909961,1,1,1
7.912962,1,0,1
7.912962,1,0,0
7.949200,0,0,0
7.953900,1,0,0
7.957706,1,1,0
7.957707,1,1,1
7.960708,1,0,1
7.960708,1,0,0
7.996600,0,0,0
8.001300,1,0,0
8.005004,1,1,0
8.005004,1,1,1
8.008005,1,0,1
8.008005,1,0,0
8.043700,0,0,0
8.048400,1,0,0
8.052025,1,1,0
8.052026,1,1,1
8.055027,1,0,1
8.055027,1,0,0
8.090500,0,0,0
8.095200,1,0,0
8.098747,1,1,0
8.098747,1,1,1
8.101748,1,0,1
8.101748,1,0,0
8.137100,0,0,0
8.141700,1,0,0
8.145293,1,1,0
8.145293,1,1,1
8.148294,1,0,1
8.148294,1,0,0
8.183300,0,0,0
8.187900,1,0,0
8.191391,1,1,0
8.191391,1,1,1
8.194392,1,0,1
8.194392,1,0,0
8.229300,0,0,0
8.233800,1,0,0
8.237336,1,1,0
8.237337,1,1,1
8.240338,1,0,1
8.240338,1,0,0
8.274900,0,0,0
8.279400,1,0,0
8.282834,1,1,0
8.282835,1,1,1
8.285836,1,0,1
8.285836,1,0,0
8.320300,0,0,0
8.324800,1,0,0
8.328181,1,1,0
8.328181,1,1,1
8.331182,1,0,1
8.331182,1,0,0
8.365400,0,0,0
8.369900,1,0,0
8.373203,1,1,0
8.373203,1,1,1
8.376204,1,0,1
8.376204,1,0,0
8.410300,0,0,0
8.414800,1,0,0
8.418050,1,1,0
8.418050,1,1,1
8.421051,1,0,1
8.421051,1,0,0
8.455000,0,0,0
8.459400,1,0,0
8.462695,1,1,0
8.462695,1,1,1
8.465696,1,0,1
8.465697,1,0,0
8.499300,0,0,0
8.503700,1,0,0
8.506894,1,1,0
8.506894,1,1,1
8.509895,1,0,1
8.509895,1,0,0
8.543400,0,0,0
8.547800,1,0,0
8.550940,1,1,0
8.550940,1,1,1
8.553941,1,0,1
8.553941,1,0,0
8.587300,0,0,0
8.591600,1,0,0
8.594786,1,1,0
8.594786,1,1,1
8.597787,1,0,1
8.597788,1,0,0
8.630900,0,0,0
8.635200,1,0,0
8.638309,1,1,0
8.638309,1,1,1
8.641310,1,0,1
8.641310,1,0,0
8.674300,0,0,0
8.678600,1,0,0
8.681655,1,1,0
8.681655,1,1,1
8.684656,1,0,1
8.684656,1,0,0
8.717400,0,0,0
8.721700,1,0,0
8.724678,1,1,0
8.724678,1,1,1
8.727679,1,0,1
8.727679,1,0,0
8.760300,0,0,0
8.764600,1,0,0
8.767525,1,1,0
8.767525,1,1,1
8.770526,1,0,1
8.770526,1,0,0
8.803000,0,0,0
8.807300,1,0,0
8.810171,1,1,0
8.810171,1,1,1
8.813172,1,0,1
8.813172,1,0,0
8.845500,0,0,0
8.849800,1,0,0
8.852619,1,1,0
8.852619,1,1,1
8.855620,1,0,1
8.855620,1,0,0
8.887800,0,0,0
8.892000,1,0,0
8.894866,1,1,0
8.894866,1,1,1
8.897868,1,0,1
8.897868,1,0,0
8.929800,0,0,0
8.934000,1,0,0
8.936789,1,1,0
8.936789,1,1,1
8.939790,1,0,1
8.939790,1,0,0
8.971700,0,0,0
8.975800,1,0,0
8.978661,1,1,0
8.978661,1,1,1
8.981668,1,0,1
8.981668,1,0,0
9.013300,0,0,0
9.017400,1,0,0
9.020184,1,1,0
9.020184,1,1,1
9.023186,1,0,1
9.023186,1,0,0
9.054700,0,0,0
9.058800,1,0,0
9.061532,1,1,0
9.061532,1,1,1
9.064533,1,0,1
9.064533,1,0,0
9.095900,0,0,0
9.100000,1,0,0
9.102678,1,1,0
9.102678,1,1,1
9.105679,1,0,1
9.105680,1,0,0
9.136900,0,0,0
9.141000,1,0,0
9.143627,1,1,0
9.143627,1,1,1
9.146628,1,0,1
9.146628,1,0,0
9.177700,0,0,0
9.181800,1,0,0
9.184374,1,1,0
9.184375,1,1,1
9.187375,1,0,1
9.187375,1,0,0
9.218400,0,0,0
9.222400,1,0,0
9.225046,1,1,0
9.225046,1,1,1
9.228047,1,0,1
9.228048,1,0,0
9.258800,0,0,0
9.262800,1,0,0
9.265370,1,1,0
9.265370,1,1,1
9.268371,1,0,1
9.268371,1,0,0
9.299000,0,0,0
9.303000,1,0,0
9.305517,1,1,0
9.305517,1,1,1
9.308518,1,0,1
9.308518,1,0,0
9.339100,0,0,0
9.343000,1,0,0
9.345589,1,1,0
9.345589,1,1,1
9.348590,1,0,1
9.348590,1,0,0
9.378900,0,0,0
9.382900,1,0,0
9.385313,1,1,0
9.385313,1,1,1
9.388314,1,0,1
9.388314,1,0,0
9.418600,0,0,0
9.422600,1,0,0
9.424986,1,1,0
9.424986,1,1,1
9.427987,1,0,1
9.427987,1,0,0
9.458200,0,0,0
9.462100,1,0,0
9.464558,1,1,0
9.464558,1,1,1
9.467559,1,0,1
9.467559,1,0,0
9.497500,0,0,0
9.501400,1,0,0
9.503782,1,1,0
9.503782,1,1,1
9.506783,1,0,1
9.506783,1,0,0
9.536700,0,0,0
9.540500,1,0,0
9.542954,1,1,0
9.542954,1,1,1
9.545955,1,0,1
9.545956,1,0,0
9.575600,0,0,0
9.579500,1,0,0
9.581778,1,1,0
9.581778,1,1,1
9.584779,1,0,1
9.584779,1,0,0
9.614400,0,0,0
9.618300,1,0,0
9.620551,1,1,0
9.620551,1,1,1
9.623552,1,0,1
9.623552,1,0,0
9.653100,0,0,0
9.656900,1,0,0
9.659223,1,1,0
9.659223,1,1,1
9.662224,1,0,1
9.662224,1,0,0
9.691500,0,0,0
9.695400,1,0,0
9.697548,1,1,0
9.697548,1,1,1
9.700549,1,0,1
9.700549,1,0,0
9.729900,0,0,0
9.733700,1,0,0
9.735943,1,1,0
9.735944,1,1,1
9.738945,1,0,1
9.738945,1,0,0
9.768100,0,0,0
9.771800,1,0,0
9.774093,1,1,0
9.774093,1,1,1
9.777094,1,0,1
9.777094,1,0,0
9.806000,0,0,0
9.809800,1,0,0
9.811917,1,1,0
9.811917,1,1,1
9.814918,1,0,1
9.814918,1,0,0
9.843900,0,0,0
9.847600,1,0,0
9.849813,1,1,0
9.849813,1,1,1
9.852815,1,0,1
9.852815,1,0,0
9.881500,0,0,0
9.885300,1,0,0
9.887338,1,1,0
9.887338,1,1,1
9.890339,1,0,1
9.890339,1,0,0
9.919100,0,0,0
9.922800,1,0,0
9.924935,1,1,0
9.924935,1,1,1
9.927936,1,0,1
9.927936,1,0,0
9.956500,0,0,0
9.960200,1,0,0
9.962283,1,1,0
9.962283,1,1,1
9.965284,1,0,1
9.965284,1,0,0
9.993700,0,0,0
9.997400,1,0,0
9.999432,1,1,0
9.999433,1,1,1
10.002434,1,0,1
10.002434,1,0,0
10.030800,0,0,0
10.034500,1,0,0
10.036506,1,1,0
10.036506,1,1,1
10.039507,1,0,1
10.039507,1,0,0
10.067800,0,0,0
10.071400,1,0,0
10.073478,1,1,0
10.073478,1,1,1
10.076479,1,0,1
10.076480,1,0,0
10.104500,0,0,0
10.108200,1,0,0
10.110103,1,1,0
10.110103,1,1,1
10.113104,1,0,1
10.113104,1,0,0
10.141200,0,0,0
10.144800,1,0,0
10.146800,1,1,0
10.146800,1,1,1
10.149801,1,0,1
10.149801,1,0,0
10.177700,0,0,0
10.181300,1,0,0
10.183249,1,1,0
10.183249,1,1,1
10.186250,1,0,1
10.186251,1,0,0
10.214000,0,0,0
10.217700,1,0,0
10.219497,1,1,0
10.219497,1,1,1
10.222498,1,0,1
10.222498,1,0,0
10.250300,0,0,0
10.253900,1,0,0
10.255794,1,1,0
10.255794,1,1,1
10.258795,1,0,1
10.258795,1,0,0
10.286400,0,0,0
10.290000,1,0,0
10.291843,1,1,0
10.291843,1,1,1
10.294845,1,0,1
10.294845,1,0,0
10.322400,0,0,0
10.326000,1,0,0
10.327816,1,1,0
10.327816,1,1,1
10.330817,1,0,1
10.330817,1,0,0
10.358300,0,0,0
10.361800,1,0,0
10.363689,1,1,0
10.363689,1,1,1
10.366691,1,0,1
10.366691,1,0,0
10.393900,0,0,0
10.397500,1,0,0
10.399215,1,1,0
10.399215,1,1,1
10.402216,1,0,1
10.402216,1,0,0
10.429500,0,0,0
10.433100,1,0,0
10.434811,1,1,0
10.434811,1,1,1
10.437812,1,0,1
10.437812,1,0,0
10.465000,0,0,0
10.468500,1,0,0
10.470284,1,1,0
10.470284,1,1,1
10.473285,1,0,1
10.473285,1,0,0
