time_seconds,D0,D1,D2
10.752124000,1,0,1
10.752123999,1,0,1
10.752124000,1,0,0
10.778499999,1,0,0
10.778500000,0,0,0
10.781899999,0,0,0
10.781900000,1,0,0
10.783496999,1,0,0
10.783497000,1,1,0
10.783496999,1,1,0
10.783497000,1,1,1
10.786497999,1,1,1
10.786498000,1,0,1
10.786497999,1,0,1
10.786498000,1,0,0
10.812699999,1,0,0
10.812700000,0,0,0
10.816099999,0,0,0
10.816100000,1,0,0
10.817646999,1,0,0
10.817647000,1,1,0
10.817646999,1,1,0
10.817647000,1,1,1
10.820647999,1,1,1
10.820648000,1,0,1
10.820647999,1,0,1
10.820648000,1,0,0
10.846799999,1,0,0
10.846800000,0,0,0
10.850199999,0,0,0
10.850200000,1,0,0
10.851719999,1,0,0
10.851720000,1,1,0
10.851720999,1,1,0
10.851721000,1,1,1
10.854720999,1,1,1
10.854721000,1,0,1
10.854720999,1,0,1
10.854721000,1,0,0
10.880799999,1,0,0
10.880800000,0,0,0
10.884199999,0,0,0
10.884200000,1,0,0
10.885693999,1,0,0
10.885694000,1,1,0
10.885693999,1,1,0
10.885694000,1,1,1
10.888694999,1,1,1
10.888695000,1,0,1
10.888695999,1,0,1
10.888696000,1,0,0
10.914699999,1,0,0
10.914700000,0,0,0
10.918099999,0,0,0
10.918100000,1,0,0
10.919566999,1,0,0
10.919567000,1,1,0
10.919566999,1,1,0
10.919567000,1,1,1
10.922567999,1,1,1
10.922568000,1,0,1
10.922567999,1,0,1
10.922568000,1,0,0
10.948499999,1,0,0
10.948500000,0,0,0
10.951899999,0,0,0
10.951900000,1,0,0
10.953339999,1,0,0
10.953340000,1,1,0
10.953339999,1,1,0
10.953340000,1,1,1
10.956340999,1,1,1
10.956341000,1,0,1
10.956340999,1,0,1
10.956341000,1,0,0
10.982199999,1,0,0
10.982200000,0,0,0
10.985599999,0,0,0
10.985600000,1,0,0
10.987013999,1,0,0
10.987014000,1,1,0
10.987013999,1,1,0
10.987014000,1,1,1
10.990014999,1,1,1
10.990015000,1,0,1
10.990014999,1,0,1
10.990015000,1,0,0
11.015799999,1,0,0
11.015800000,0,0,0
11.019099999,0,0,0
11.019100000,1,0,0
11.020587999,1,0,0
11.020588000,1,1,0
11.020587999,1,1,0
11.020588000,1,1,1
11.023589999,1,1,1
