time_seconds,D0,D1,D2
32.166104124,0,1,1
32.1662,1,1,1
32.167134437,1,0,1
32.1671345,1,0,0
32.1762,0,0,0
32.177204,0,1,0
32.177204125,0,1,1
32.1773,1,1,1
32.178234375,1,0,1
32.178234437,1,0,0
32.1873,0,0,0
32.188304062,0,1,0
32.188304187,0,1,1
32.1884,1,1,1
32.189334562,1,0,1
32.189334625,1,0,0
32.1984,0,0,0
32.199404,0,1,0
32.199404125,0,1,1
32.1995,1,1,1
32.200434375,1,0,1
32.200434437,1,0,0
32.2095,0,0,0
32.210504,0,1,0
32.210504125,0,1,1
32.2106,1,1,1
32.2115345,1,0,1
32.211534562,1,0,0
32.220599999,0,0,0
32.221604312,0,1,0
32.221604437,0,1,1
32.2217,1,1,1
32.222634375,1,0,1
32.222634437,1,0,0
32.231699999,0,0,0
32.232704062,0,1,0
32.232704187,0,1,1
32.232799999,1,1,1
32.233734374,1,0,1
32.233734437,1,0,0
32.2428,0,0,0
32.243803999,0,1,0
32.243804124,0,1,1
32.243899999,1,1,1
32.244834437,1,0,1
32.2448345,1,0,0
32.2539,0,0,0
32.254904187,0,1,0
32.254904312,0,1,1
32.255,1,1,1
32.255934437,1,0,1
32.2559345,1,0,0
32.265,0,0,0
32.266004,0,1,0
32.266004125,0,1,1
32.2661,1,1,1
32.2670345,1,0,1
32.267034562,1,0,0
32.2761,0,0,0
32.277104187,0,1,0
32.277104312,0,1,1
32.2772,1,1,1
32.278134375,1,0,1
32.278134437,1,0,0
32.2871,0,0,0
32.288103999,0,1,0
32.288104124,0,1,1
32.2882,1,1,1
32.289114374,1,0,1
32.289114437,1,0,0
32.298099999,0,0,0
32.299104,0,1,0
32.299104125,0,1,1
32.2992,1,1,1
32.300113937,1,0,1
32.300114,1,0,0
32.3091,0,0,0
32.310104,0,1,0
32.310104125,0,1,1
32.3102,1,1,1
32.311112937,1,0,1
32.311113,1,0,0
32.320099999,0,0,0
32.321104,0,1,0
32.321104124,0,1,1
32.321199999,1,1,1
32.322112375,1,0,1
32.322112437,1,0,0
32.3311,0,0,0
32.332104,0,1,0
32.332104125,0,1,1
32.3322,1,1,1
32.333111937,1,0,1
32.333112,1,0,0
32.3421,0,0,0
32.343103999,0,1,0
32.343104125,0,1,1
32.3432,1,1,1
32.344111875,1,0,1
32.344111937,1,0,0
32.353099999,0,0,0
32.35410425,0,1,0
32.354104375,0,1,1
32.3542,1,1,1
32.355111937,1,0,1
32.355112,1,0,0
32.3641,0,0,0
32.365104,0,1,0
32.365104125,0,1,1
32.3652,1,1,1
32.366111375,1,0,1
32.366111437,1,0,0
32.3751,0,0,0
32.376103999,0,1,0
32.376104124,0,1,1
32.376199999,1,1,1
32.377111375,1,0,1
32.377111437,1,0,0
32.3861,0,0,0
32.387104,0,1,0
32.387104125,0,1,1
32.3872,1,1,1
32.3881115,1,0,1
32.388111562,1,0,0
32.3971,0,0,0
32.3981045,0,1,0
32.398104625,0,1,1
32.3982,1,1,1
32.399111937,1,0,1
32.399112,1,0,0
32.408099999,0,0,0
32.409104062,0,1,0
32.409104187,0,1,1
32.4092,1,1,1
32.410111437,1,0,1
32.4101115,1,0,0
32.4191,0,0,0
32.420104,0,1,0
32.420104125,0,1,1
32.4202,1,1,1
32.421111562,1,0,1
32.421111625,1,0,0
32.4301,0,0,0
32.431103999,0,1,0
32.431104124,0,1,1
32.431199999,1,1,1
32.432111437,1,0,1
32.432111499,1,0,0
32.4411,0,0,0
32.442104,0,1,0
32.442104125,0,1,1
32.4422,1,1,1
32.443111375,1,0,1
32.443111437,1,0,0
32.4521,0,0,0
32.453104062,0,1,0
32.453104187,0,1,1
32.4532,1,1,1
32.454111437,1,0,1
32.4541115,1,0,0
32.463099999,0,0,0
32.464104062,0,1,0
32.464104187,0,1,1
32.4642,1,1,1
32.465111375,1,0,1
32.465111437,1,0,0
32.4741,0,0,0
32.475104125,0,1,0
32.47510425,0,1,1
32.4752,1,1,1
32.476111375,1,0,1
32.476111437,1,0,0
32.4851,0,0,0
32.486103999,0,1,0
32.486104124,0,1,1
32.486199999,1,1,1
32.487111874,1,0,1
32.487111937,1,0,0
32.4961,0,0,0
32.497104062,0,1,0
32.497104187,0,1,1
32.4972,1,1,1
32.4981115,1,0,1
32.498111562,1,0,0
32.5071,0,0,0
32.508104187,0,1,0
32.508104312,0,1,1
