time_sec,rpm,reason
67.101,7143,No spark found after trigger
67.105,7143,No spark found after trigger
67.109,7143,No spark found after trigger
67.114,7143,No spark found after trigger
67.118,7143,No spark found after trigger
67.122,7143,No spark found after trigger
67.126,7143,No spark found after trigger
67.130,7143,No spark found after trigger
67.135,7143,No spark found after trigger
67.139,7143,No spark found after trigger
67.143,7143,No spark found after trigger
67.147,7143,No spark found after trigger
67.151,7143,No spark found after trigger
67.156,7143,No spark found after trigger
67.160,7143,No spark found after trigger
67.164,7143,No spark found after trigger
67.168,7143,No spark found after trigger
67.172,7143,No spark found after trigger
67.177,7143,No spark found after trigger
67.181,7143,No spark found after trigger
67.185,7143,No spark found after trigger
67.189,7143,No spark found after trigger
67.193,7143,No spark found after trigger
67.198,7143,No spark found after trigger
67.202,7143,No spark found after trigger
67.206,7143,No spark found after trigger
67.210,7143,No spark found after trigger
67.214,7143,No spark found after trigger
67.219,7143,No spark found after trigger
67.223,7143,No spark found after trigger
67.227,7143,No spark found after trigger
67.231,7143,No spark found after trigger
67.235,7143,No spark found after trigger
67.240,7143,No spark found after trigger
67.244,7143,No spark found after trigger
67.248,7143,No spark found after trigger
67.252,7143,No spark found after trigger
67.256,7143,No spark found after trigger
67.261,7143,No spark found after trigger
67.265,7143,No spark found after trigger
67.269,7143,No spark found after trigger
67.273,7143,No spark found after trigger
67.277,7143,No spark found after trigger
67.282,7143,No spark found after trigger
67.286,7143,No spark found after trigger
67.290,7143,No spark found after trigger
67.294,7143,No spark found after trigger
67.298,7143,No spark found after trigger
67.303,7143,No spark found after trigger
67.307,7143,No spark found after trigger
67.311,7143,No spark found after trigger
67.315,7143,No spark found after trigger
67.319,7143,No spark found after trigger
67.324,7143,No spark found after trigger
67.328,7143,No spark found after trigger
67.332,7143,No spark found after trigger
67.336,7143,No spark found after trigger
67.340,7143,No spark found after trigger
67.345,7143,No spark found after trigger
67.349,7143,No spark found after trigger
67.353,7143,No spark found after trigger
67.357,7143,No spark found after trigger
67.361,7143,No spark found after trigger
67.366,7143,No spark found after trigger
67.370,7143,No spark found after trigger
67.374,7143,No spark found after trigger
67.378,7143,No spark found after trigger
67.382,7143,No spark found after trigger
67.387,7143,No spark found after trigger
67.391,7143,No spark found after trigger
67.395,7143,No spark found after trigger
67.399,7143,No spark found after trigger
67.403,7143,No spark found after trigger
67.408,7143,No spark found after trigger
67.412,7143,No spark found after trigger
67.416,7143,No spark found after trigger
67.420,7143,No spark found after trigger
67.424,7143,No spark found after trigger
67.429,7143,No spark found after trigger
67.433,7143,No spark found after trigger
67.437,7143,No spark found after trigger
67.441,7143,No spark found after trigger
67.445,7143,No spark found after trigger
67.450,7143,No spark found after trigger
67.454,7143,No spark found after trigger
67.458,7143,No spark found after trigger
67.462,7143,No spark found after trigger
67.466,7143,No spark found after trigger
67.471,7143,No spark found after trigger
67.475,7143,No spark found after trigger
67.479,7143,No spark found after trigger
67.483,7143,No spark found after trigger
67.487,7143,No spark found after trigger
67.492,7143,No spark found after trigger
67.496,7143,No spark found after trigger
67.500,7143,No spark found after trigger
67.504,7143,No spark found after trigger
67.508,7143,No spark found after trigger
67.513,7143,No spark found after trigger
67.517,7143,No spark found after trigger
67.521,7143,No spark found after trigger
67.525,7143,No spark found after trigger
67.529,7143,No spark found after trigger
67.534,7143,No spark found after trigger
67.538,7143,No spark found after trigger
67.542,7143,No spark found after trigger
67.546,7143,No spark found after trigger
67.550,7143,No spark found after trigger
67.555,7143,No spark found after trigger
67.559,7143,No spark found after trigger
67.563,7143,No spark found after trigger
67.567,7143,No spark found after trigger
67.571,7143,No spark found after trigger
67.576,7143,No spark found after trigger
67.580,7143,No spark found after trigger
67.584,7143,No spark found after trigger
67.588,7143,No spark found after trigger
67.592,7143,No spark found after trigger
67.597,7143,No spark found after trigger
67.601,7143,No spark found after trigger
67.605,7143,No spark found after trigger
67.609,7143,No spark found after trigger
67.613,7143,No spark found after trigger
67.618,7143,No spark found after trigger
67.622,7143,No spark found after trigger
67.626,7143,No spark found after trigger
67.630,7143,No spark found after trigger
67.634,7143,No spark found after trigger
67.639,7143,No spark found after trigger
67.643,7143,No spark found after trigger
67.647,7143,No spark found after trigger
67.651,7143,No spark found after trigger
67.655,7143,No spark found after trigger
67.660,7143,No spark found after trigger
67.664,7143,No spark found after trigger
67.668,7143,No spark found after trigger
67.672,7143,No spark found after trigger
67.676,7143,No spark found after trigger
67.681,7143,No spark found after trigger
67.685,7143,No spark found after trigger
67.689,7143,No spark found after trigger
67.693,7143,No spark found after trigger
67.697,7317,No spark found after trigger
67.701,7317,No spark found after trigger
67.706,7317,No spark found after trigger
